,Gini
0,0.0
1,0.3016
2,0.3808
3,0.3808
4,0.40880000000000005
5,0.476
6,0.516
7,0.548
8,0.5256000000000001
9,0.5432
10,0.5304
11,0.5184
12,0.5688
13,0.5856
14,0.5512
15,0.5376000000000001
16,0.5224
17,0.5376000000000001
18,0.5632
19,0.5704
20,0.5384
21,0.5816
22,0.5984
23,0.6024
24,0.6088
25,0.5976
26,0.6064
27,0.6256
28,0.6416
29,0.6224000000000001
30,0.6144000000000001
31,0.6288
32,0.652
33,0.6472
34,0.6616
35,0.6384000000000001
36,0.624
37,0.6048
38,0.6424000000000001
39,0.6472
40,0.6072
41,0.6016
42,0.6288
43,0.6512
44,0.6632
45,0.6120000000000001
46,0.628
47,0.6192
48,0.6352
49,0.6080000000000001
50,0.6224000000000001
51,0.6392
52,0.6136
53,0.5728
54,0.6136
55,0.6208
56,0.648
57,0.648
58,0.6776
59,0.6912
60,0.712
61,0.6784
62,0.6839999999999999
63,0.6808000000000001
64,0.6872
65,0.692
66,0.676
67,0.6312
68,0.6088
69,0.5824
70,0.62
71,0.62
72,0.6008
73,0.5688
74,0.5920000000000001
75,0.6120000000000001
76,0.5880000000000001
77,0.6456
78,0.624
79,0.6328
80,0.6216
81,0.6672
82,0.6024
83,0.6632
84,0.6736
85,0.6672
86,0.6496
87,0.6552
88,0.6776
89,0.6896
90,0.6896
91,0.6592
92,0.6752
93,0.6672
94,0.648
95,0.6528
96,0.624
97,0.6192
98,0.6080000000000001
99,0.6328
